RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
23,CA-62474,2019-01-23,2019-01-25,Standard Class,C-6644,Customer 23,Home Office,United States,New York,New York,96229,West,P-7704,Furniture,Bookcases,Product 23,1084.17,6,0.27,121.29
24,CA-39880,2019-01-24,2019-01-26,Standard Class,C-7198,Customer 24,Consumer,United States,New York,New York,58016,West,P-8267,Office Supplies,Binders,Product 24,1739.06,7,0.17,324.24
25,CA-23135,2019-01-25,2019-01-27,Same Day,C-6868,Customer 25,Corporate,United States,Los Angeles,California,62531,Central,P-5830,Office Supplies,Paper,Product 25,1094.51,2,0.05,198.36
26,CA-95503,2019-01-26,2019-01-28,Same Day,C-1848,Customer 26,Corporate,United States,New York,New York,88910,Central,P-7818,Technology,Phones,Product 26,1337.11,5,0.1,114.61
27,CA-53902,2019-01-27,2019-01-29,Second Class,C-4575,Customer 27,Corporate,United States,New York,New York,20872,Central,P-5832,Technology,Phones,Product 27,1366.17,4,0.25,129.49
28,CA-16892,2019-01-28,2019-01-30,Same Day,C-8756,Customer 28,Consumer,United States,Chicago,Illinois,10658,East,P-5089,Office Supplies,Binders,Product 28,1757.58,3,0.29,327.31
29,CA-77107,2019-01-29,2019-01-31,Standard Class,C-2623,Customer 29,Home Office,United States,Miami,Florida,40057,East,P-3201,Technology,Accessories,Product 29,1557.97,7,0.26,290.47
30,CA-19344,2019-01-30,2019-02-01,First Class,C-6299,Customer 30,Home Office,United States,Miami,Florida,87315,Central,P-6844,Office Supplies,Binders,Product 30,1954.52,1,0.26,380.21
31,CA-11032,2019-01-31,2019-02-02,Same Day,C-1508,Customer 31,Home Office,United States,Miami,Florida,36459,West,P-2783,Technology,Copiers,Product 31,59.63,6,0.0,3.62
32,CA-82562,2019-02-01,2019-02-03,First Class,C-1174,Customer 32,Consumer,United States,Chicago,Illinois,49094,West,P-7169,Technology,Copiers,Product 32,431.5,3,0.13,111.68
33,CA-66992,2019-02-02,2019-02-04,Same Day,C-8933,Customer 33,Home Office,United States,Miami,Florida,83332,East,P-6095,Technology,Copiers,Product 33,1862.28,7,0.25,264.4
34,CA-67337,2019-02-03,2019-02-05,Same Day,C-5204,Customer 34,Home Office,United States,New York,New York,25978,East,P-9376,Technology,Accessories,Product 34,1588.6,9,0.01,277.61
35,CA-67980,2019-02-04,2019-02-06,Second Class,C-9436,Customer 35,Consumer,United States,Miami,Florida,17578,West,P-8917,Office Supplies,Storage,Product 35,549.38,3,0.21,101.39
36,CA-16918,2019-02-05,2019-02-07,Same Day,C-4630,Customer 36,Consumer,United States,Los Angeles,California,17733,South,P-5209,Furniture,Chairs,Product 36,1949.01,1,0.15,137.37
37,CA-45199,2019-02-06,2019-02-08,Standard Class,C-9366,Customer 37,Home Office,United States,Miami,Florida,41769,East,P-4013,Technology,Accessories,Product 37,1742.36,3,0.24,141.88
38,CA-98603,2019-02-07,2019-02-09,Same Day,C-3440,Customer 38,Consumer,United States,Miami,Florida,35082,East,P-9090,Technology,Phones,Product 38,148.02,9,0.08,38.88
39,CA-26947,2019-02-08,2019-02-10,First Class,C-8146,Customer 39,Consumer,United States,Miami,Florida,50909,West,P-1457,Office Supplies,Binders,Product 39,1626.39,4,0.26,122.4
40,CA-85778,2019-02-09,2019-02-11,Same Day,C-9813,Customer 40,Consumer,United States,Chicago,Illinois,93798,Central,P-2211,Office Supplies,Storage,Product 40,1573.29,3,0.09,192.06
41,CA-57059,2019-02-10,2019-02-12,Standard Class,C-3371,Customer 41,Corporate,United States,Houston,Texas,54592,West,P-9392,Technology,Copiers,Product 41,457.88,7,0.29,36.26
42,CA-68845,2019-02-11,2019-02-13,Same Day,C-1904,Customer 42,Corporate,United States,Miami,Florida,37538,East,P-8616,Technology,Copiers,Product 42,1345.11,7,0.19,186.14
43,CA-88482,2019-02-12,2019-02-14,First Class,C-2341,Customer 43,Home Office,United States,New York,New York,85250,Central,P-3569,Furniture,Tables,Product 43,1941.05,4,0.06,457.95
44,CA-12418,2019-02-13,2019-02-15,Same Day,C-3344,Customer 44,Home Office,United States,Miami,Florida,34766,South,P-4666,Furniture,Chairs,Product 44,1358.22,9,0.23,271.28
45,CA-37908,2019-02-14,2019-02-16,Second Class,C-1564,Customer 45,Consumer,United States,Houston,Texas,24503,Central,P-9195,Office Supplies,Storage,Product 45,1631.26,9,0.16,179.84
46,CA-52231,2019-02-15,2019-02-17,Same Day,C-3366,Customer 46,Home Office,United States,Houston,Texas,93244,South,P-6435,Furniture,Tables,Product 46,216.79,2,0.12,13.08
47,CA-46529,2019-02-16,2019-02-18,First Class,C-2761,Customer 47,Corporate,United States,New York,New York,72361,West,P-9472,Office Supplies,Storage,Product 47,1460.37,7,0.14,98.13
48,CA-97916,2019-02-17,2019-02-19,First Class,C-6221,Customer 48,Home Office,United States,Chicago,Illinois,50621,Central,P-8470,Technology,Phones,Product 48,425.41,8,0.12,95.14
49,CA-16038,2019-02-18,2019-02-20,First Class,C-3347,Customer 49,Home Office,United States,New York,New York,27003,Central,P-9447,Furniture,Tables,Product 49,162.27,8,0.21,20.15
50,CA-60771,2019-02-19,2019-02-21,Second Class,C-7627,Customer 50,Corporate,United States,Chicago,Illinois,28930,West,P-1807,Furniture,Tables,Product 50,1113.11,1,0.08,261.45
51,CA-45502,2019-02-20,2019-02-22,Same Day,C-3843,Customer 51,Corporate,United States,Miami,Florida,22190,South,P-7573,Furniture,Tables,Product 51,1506.21,2,0.15,68.54
52,CA-29622,2019-02-21,2019-02-23,First Class,C-1786,Customer 52,Consumer,United States,Los Angeles,California,66803,South,P-8120,Office Supplies,Storage,Product 52,1102.55,8,0.23,49.86
53,CA-95606,2019-02-22,2019-02-24,Second Class,C-8925,Customer 53,Consumer,United States,Chicago,Illinois,57448,South,P-7705,Furniture,Tables,Product 53,1864.56,7,0.04,230.68
54,CA-79237,2019-02-23,2019-02-25,Second Class,C-7972,Customer 54,Consumer,United States,New York,New York,86354,Central,P-6852,Furniture,Bookcases,Product 54,1397.42,7,0.09,128.49
55,CA-30807,2019-02-24,2019-02-26,First Class,C-8730,Customer 55,Home Office,United States,Miami,Florida,75667,Central,P-6231,Office Supplies,Paper,Product 55,252.8,1,0.06,50.21
56,CA-39126,2019-02-25,2019-02-27,Standard Class,C-6979,Customer 56,Home Office,United States,Chicago,Illinois,22661,South,P-3410,Furniture,Tables,Product 56,1870.35,2,0.17,304.78
57,CA-57173,2019-02-26,2019-02-28,Same Day,C-9067,Customer 57,Home Office,United States,Chicago,Illinois,21126,South,P-5350,Furniture,Chairs,Product 57,322.72,2,0.12,77.69
58,CA-84513,2019-02-27,2019-03-01,First Class,C-6128,Customer 58,Corporate,United States,Houston,Texas,57330,West,P-9458,Technology,Copiers,Product 58,1521.35,3,0.1,338.35
59,CA-75647,2019-02-28,2019-03-02,Same Day,C-8576,Customer 59,Home Office,United States,Houston,Texas,72510,South,P-6906,Office Supplies,Binders,Product 59,314.12,3,0.11,21.02
60,CA-46687,2019-03-01,2019-03-03,Second Class,C-2703,Customer 60,Corporate,United States,New York,New York,84004,West,P-4659,Office Supplies,Binders,Product 60,1997.19,3,0.14,466.8
61,CA-79834,2019-03-02,2019-03-04,Same Day,C-9283,Customer 61,Home Office,United States,Houston,Texas,21782,South,P-1524,Office Supplies,Paper,Product 61,677.73,4,0.13,47.17
62,CA-75893,2019-03-03,2019-03-05,Standard Class,C-8098,Customer 62,Home Office,United States,Miami,Florida,36000,South,P-5032,Furniture,Chairs,Product 62,1001.94,4,0.21,78.51
63,CA-73600,2019-03-04,2019-03-06,Same Day,C-8348,Customer 63,Corporate,United States,Houston,Texas,60726,South,P-5642,Furniture,Chairs,Product 63,944.34,9,0.21,131.55
64,CA-62219,2019-03-05,2019-03-07,First Class,C-3305,Customer 64,Corporate,United States,Los Angeles,California,98430,East,P-8004,Technology,Accessories,Product 64,221.76,3,0.01,17.1
65,CA-91657,2019-03-06,2019-03-08,First Class,C-7019,Customer 65,Corporate,United States,Miami,Florida,68162,East,P-8006,Technology,Copiers,Product 65,998.15,3,0.21,84.14
66,CA-96878,2019-03-07,2019-03-09,First Class,C-1257,Customer 66,Consumer,United States,Chicago,Illinois,97294,West,P-8363,Office Supplies,Storage,Product 66,316.02,9,0.07,47.59
67,CA-20314,2019-03-08,2019-03-10,Same Day,C-1444,Customer 67,Consumer,United States,Los Angeles,California,78451,South,P-4385,Office Supplies,Binders,Product 67,1607.92,4,0.13,156.82
68,CA-80480,2019-03-09,2019-03-11,First Class,C-8147,Customer 68,Home Office,United States,Houston,Texas,95677,East,P-1403,Technology,Accessories,Product 68,1917.46,6,0.07,511.17
69,CA-64876,2019-03-10,2019-03-12,Same Day,C-8638,Customer 69,Home Office,United States,Houston,Texas,88464,South,P-5148,Office Supplies,Paper,Product 69,1619.96,5,0.04,140.74
70,CA-47038,2019-03-11,2019-03-13,Same Day,C-5009,Customer 70,Home Office,United States,Miami,Florida,54776,West,P-1868,Furniture,Chairs,Product 70,873.51,3,0.18,138.45
71,CA-77946,2019-03-12,2019-03-14,First Class,C-7943,Customer 71,Consumer,United States,Chicago,Illinois,42400,South,P-1124,Technology,Copiers,Product 71,24.7,8,0.29,3.06
72,CA-47022,2019-03-13,2019-03-15,Standard Class,C-6615,Customer 72,Home Office,United States,Los Angeles,California,68000,South,P-1851,Office Supplies,Paper,Product 72,92.55,5,0.11,13.44
73,CA-19943,2019-03-14,2019-03-16,First Class,C-9432,Customer 73,Corporate,United States,Chicago,Illinois,89541,East,P-7079,Furniture,Tables,Product 73,1000.17,8,0.2,86.77
74,CA-33032,2019-03-15,2019-03-17,Second Class,C-8344,Customer 74,Corporate,United States,Chicago,Illinois,29057,South,P-4462,Furniture,Bookcases,Product 74,1365.38,6,0.14,114.71
75,CA-20548,2019-03-16,2019-03-18,Second Class,C-5275,Customer 75,Consumer,United States,Houston,Texas,80909,East,P-7146,Furniture,Chairs,Product 75,1642.64,9,0.05,196.52
76,CA-29479,2019-03-17,2019-03-19,Standard Class,C-3424,Customer 76,Corporate,United States,New York,New York,17798,Central,P-6701,Furniture,Chairs,Product 76,1207.07,2,0.28,172.2
77,CA-41176,2019-03-18,2019-03-20,Second Class,C-4449,Customer 77,Corporate,United States,Miami,Florida,61136,East,P-8149,Office Supplies,Storage,Product 77,1957.06,7,0.13,332.39
78,CA-46925,2019-03-19,2019-03-21,Standard Class,C-2956,Customer 78,Home Office,United States,Houston,Texas,41504,Central,P-8700,Furniture,Bookcases,Product 78,997.68,4,0.0,242.57
79,CA-84643,2019-03-20,2019-03-22,Same Day,C-6679,Customer 79,Corporate,United States,Chicago,Illinois,91014,East,P-4265,Office Supplies,Paper,Product 79,1208.06,7,0.14,130.76
80,CA-59752,2019-03-21,2019-03-23,Second Class,C-2775,Customer 80,Corporate,United States,Chicago,Illinois,60088,Central,P-9166,Office Supplies,Storage,Product 80,475.6,9,0.0,108.15
81,CA-14578,2019-03-22,2019-03-24,Standard Class,C-2803,Customer 81,Consumer,United States,Chicago,Illinois,97769,East,P-4069,Office Supplies,Storage,Product 81,692.53,1,0.24,142.39
82,CA-55897,2019-03-23,2019-03-25,First Class,C-1130,Customer 82,Corporate,United States,Miami,Florida,81475,South,P-3990,Furniture,Bookcases,Product 82,1372.6,5,0.11,323.08
83,CA-88938,2019-03-24,2019-03-26,Second Class,C-2284,Customer 83,Corporate,United States,Miami,Florida,27504,East,P-7770,Furniture,Tables,Product 83,1211.25,6,0.18,165.31
84,CA-94302,2019-03-25,2019-03-27,Second Class,C-9085,Customer 84,Home Office,United States,Los Angeles,California,44218,Central,P-9265,Furniture,Tables,Product 84,751.9,4,0.23,124.67
85,CA-36770,2019-03-26,2019-03-28,Standard Class,C-9397,Customer 85,Home Office,United States,New York,New York,78421,Central,P-9062,Office Supplies,Binders,Product 85,241.72,6,0.01,61.72
86,CA-75503,2019-03-27,2019-03-29,Same Day,C-4243,Customer 86,Home Office,United States,New York,New York,19756,West,P-7310,Furniture,Chairs,Product 86,698.38,1,0.16,52.09
87,CA-15550,2019-03-28,2019-03-30,Standard Class,C-2283,Customer 87,Consumer,United States,Miami,Florida,74512,South,P-2175,Furniture,Chairs,Product 87,107.43,8,0.19,25.18
88,CA-61363,2019-03-29,2019-03-31,Standard Class,C-4737,Customer 88,Home Office,United States,New York,New York,93426,South,P-3243,Technology,Copiers,Product 88,1169.92,6,0.14,201.78
89,CA-29164,2019-03-30,2019-04-01,Second Class,C-6406,Customer 89,Corporate,United States,Los Angeles,California,34387,West,P-9437,Technology,Copiers,Product 89,659.57,4,0.09,72.39
90,CA-70797,2019-03-31,2019-04-02,Standard Class,C-8512,Customer 90,Consumer,United States,Miami,Florida,90364,Central,P-9872,Office Supplies,Paper,Product 90,772.1,5,0.14,120.2
91,CA-28769,2019-04-01,2019-04-03,First Class,C-2162,Customer 91,Corporate,United States,Houston,Texas,74584,East,P-5413,Office Supplies,Storage,Product 91,1158.67,8,0.12,238.76
92,CA-39596,2019-04-02,2019-04-04,Standard Class,C-1963,Customer 92,Corporate,United States,Miami,Florida,23614,West,P-5451,Furniture,Bookcases,Product 92,1170.95,2,0.18,245.13
93,CA-53788,2019-04-03,2019-04-05,First Class,C-4229,Customer 93,Home Office,United States,Miami,Florida,38529,West,P-2793,Furniture,Bookcases,Product 93,1184.92,4,0.14,129.46
94,CA-28250,2019-04-04,2019-04-06,First Class,C-7714,Customer 94,Consumer,United States,Miami,Florida,18878,West,P-6103,Office Supplies,Binders,Product 94,993.35,7,0.04,129.27
95,CA-61295,2019-04-05,2019-04-07,Standard Class,C-7967,Customer 95,Consumer,United States,Los Angeles,California,22107,West,P-3081,Office Supplies,Paper,Product 95,986.48,2,0.03,243.49
96,CA-45437,2019-04-06,2019-04-08,Same Day,C-2809,Customer 96,Home Office,United States,Miami,Florida,99210,West,P-7027,Office Supplies,Binders,Product 96,1646.01,6,0.05,406.34
97,CA-37491,2019-04-07,2019-04-09,First Class,C-8929,Customer 97,Consumer,United States,New York,New York,52920,Central,P-4780,Office Supplies,Paper,Product 97,945.76,9,0.02,205.61
98,CA-60010,2019-04-08,2019-04-10,First Class,C-7709,Customer 98,Corporate,United States,Chicago,Illinois,77516,West,P-4788,Office Supplies,Paper,Product 98,1081.34,2,0.08,219.72
99,CA-21686,2019-04-09,2019-04-11,First Class,C-6906,Customer 99,Consumer,United States,Los Angeles,California,32089,Central,P-7880,Technology,Phones,Product 99,1976.7,4,0.02,218.58
100,CA-24533,2019-04-10,2019-04-12,Same Day,C-9308,Customer 100,Corporate,United States,New York,New York,52957,Central,P-1302,Technology,Copiers,Product 100,378.48,5,0.18,89.7
101,CA-42215,2019-04-11,2019-04-13,Standard Class,C-9310,Customer 101,Consumer,United States,Miami,Florida,16537,East,P-3779,Office Supplies,Binders,Product 101,1458.31,8,0.13,333.11
102,CA-77930,2019-04-12,2019-04-14,Same Day,C-2405,Customer 102,Consumer,United States,New York,New York,80618,West,P-8096,Furniture,Tables,Product 102,956.91,5,0.08,235.88
103,CA-79954,2019-04-13,2019-04-15,Standard Class,C-9615,Customer 103,Home Office,United States,Chicago,Illinois,48217,West,P-1379,Office Supplies,Binders,Product 103,1664.47,5,0.0,164.6
104,CA-72158,2019-04-14,2019-04-16,First Class,C-9357,Customer 104,Home Office,United States,Los Angeles,California,37899,East,P-9383,Office Supplies,Binders,Product 104,819.98,9,0.04,232.97
105,CA-17573,2019-04-15,2019-04-17,Second Class,C-4931,Customer 105,Consumer,United States,Chicago,Illinois,46523,South,P-9157,Technology,Copiers,Product 105,619.92,6,0.2,80.04
106,CA-51985,2019-04-16,2019-04-18,First Class,C-8624,Customer 106,Corporate,United States,Miami,Florida,97201,South,P-8863,Furniture,Tables,Product 106,431.42,5,0.07,88.46
107,CA-71510,2019-04-17,2019-04-19,Standard Class,C-7188,Customer 107,Home Office,United States,Houston,Texas,34112,West,P-6180,Technology,Accessories,Product 107,1747.03,3,0.1,431.87
108,CA-23452,2019-04-18,2019-04-20,Same Day,C-1352,Customer 108,Home Office,United States,Chicago,Illinois,22264,South,P-9108,Furniture,Chairs,Product 108,1442.29,1,0.02,106.31
109,CA-66682,2019-04-19,2019-04-21,First Class,C-7896,Customer 109,Home Office,United States,Houston,Texas,25372,West,P-9709,Furniture,Chairs,Product 109,172.26,6,0.16,18.75
110,CA-31194,2019-04-20,2019-04-22,First Class,C-2109,Customer 110,Consumer,United States,Houston,Texas,30983,South,P-8996,Technology,Copiers,Product 110,1432.71,9,0.24,154.67
111,CA-91342,2019-04-21,2019-04-23,Standard Class,C-8383,Customer 111,Corporate,United States,Chicago,Illinois,22417,Central,P-4261,Furniture,Chairs,Product 111,89.33,4,0.11,19.36
112,CA-76441,2019-04-22,2019-04-24,Standard Class,C-2267,Customer 112,Corporate,United States,New York,New York,81605,South,P-7120,Technology,Phones,Product 112,379.62,8,0.03,45.62
113,CA-46724,2019-04-23,2019-04-25,Second Class,C-3166,Customer 113,Consumer,United States,Los Angeles,California,33983,South,P-5431,Office Supplies,Storage,Product 113,1193.74,2,0.29,125.18
114,CA-75207,2019-04-24,2019-04-26,First Class,C-6822,Customer 114,Corporate,United States,Los Angeles,California,80495,Central,P-5769,Furniture,Chairs,Product 114,937.75,2,0.15,115.49
115,CA-58985,2019-04-25,2019-04-27,First Class,C-6591,Customer 115,Home Office,United States,Los Angeles,California,78819,East,P-7735,Office Supplies,Storage,Product 115,1684.16,4,0.03,454.14
116,CA-49629,2019-04-26,2019-04-28,First Class,C-1906,Customer 116,Corporate,United States,New York,New York,32067,Central,P-4963,Technology,Accessories,Product 116,1223.62,2,0.15,52.89
117,CA-76030,2019-04-27,2019-04-29,Second Class,C-8385,Customer 117,Home Office,United States,New York,New York,86969,South,P-5429,Office Supplies,Paper,Product 117,1930.65,6,0.01,162.65
118,CA-74603,2019-04-28,2019-04-30,Second Class,C-6639,Customer 118,Home Office,United States,Miami,Florida,22386,West,P-3854,Furniture,Tables,Product 118,1713.26,8,0.02,473.61
119,CA-15858,2019-04-29,2019-05-01,First Class,C-9861,Customer 119,Consumer,United States,New York,New York,43993,West,P-9216,Furniture,Bookcases,Product 119,693.63,3,0.1,126.37
120,CA-16910,2019-04-30,2019-05-02,Standard Class,C-5351,Customer 120,Home Office,United States,Miami,Florida,55841,South,P-7064,Technology,Copiers,Product 120,1671.62,3,0.2,97.19
121,CA-84542,2019-05-01,2019-05-03,Same Day,C-4206,Customer 121,Corporate,United States,Miami,Florida,50719,East,P-4774,Office Supplies,Binders,Product 121,1742.47,4,0.21,232.01
122,CA-66443,2019-05-02,2019-05-04,First Class,C-2911,Customer 122,Corporate,United States,New York,New York,71365,West,P-6751,Office Supplies,Paper,Product 122,1940.06,5,0.27,402.53
123,CA-43419,2019-05-03,2019-05-05,First Class,C-8842,Customer 123,Corporate,United States,Chicago,Illinois,15743,East,P-8721,Technology,Phones,Product 123,44.87,3,0.03,10.4
124,CA-63983,2019-05-04,2019-05-06,First Class,C-9775,Customer 124,Corporate,United States,Chicago,Illinois,94553,West,P-6058,Furniture,Chairs,Product 124,1751.99,6,0.14,171.75
125,CA-25448,2019-05-05,2019-05-07,Standard Class,C-3614,Customer 125,Corporate,United States,Miami,Florida,96633,East,P-7977,Technology,Copiers,Product 125,158.39,5,0.14,21.61
126,CA-44985,2019-05-06,2019-05-08,Second Class,C-7865,Customer 126,Home Office,United States,New York,New York,51955,West,P-3558,Office Supplies,Paper,Product 126,1065.67,8,0.14,158.26
127,CA-59197,2019-05-07,2019-05-09,Same Day,C-5358,Customer 127,Consumer,United States,Miami,Florida,47010,West,P-1787,Office Supplies,Storage,Product 127,841.03,4,0.25,152.14
128,CA-85149,2019-05-08,2019-05-10,Same Day,C-1955,Customer 128,Consumer,United States,Miami,Florida,42550,West,P-7977,Office Supplies,Paper,Product 128,1841.37,6,0.24,342.24
129,CA-89938,2019-05-09,2019-05-11,Second Class,C-9960,Customer 129,Corporate,United States,Miami,Florida,37432,West,P-7682,Technology,Accessories,Product 129,822.2,9,0.15,86.26
130,CA-46640,2019-05-10,2019-05-12,First Class,C-4231,Customer 130,Home Office,United States,Miami,Florida,33285,South,P-6589,Office Supplies,Paper,Product 130,1200.16,6,0.23,213.96
131,CA-77431,2019-05-11,2019-05-13,First Class,C-5419,Customer 131,Consumer,United States,Miami,Florida,22238,West,P-3523,Office Supplies,Binders,Product 131,1389.92,5,0.02,399.69
132,CA-42087,2019-05-12,2019-05-14,Same Day,C-5476,Customer 132,Corporate,United States,Chicago,Illinois,30164,East,P-9030,Office Supplies,Binders,Product 132,57.68,8,0.16,3.3
133,CA-77178,2019-05-13,2019-05-15,Same Day,C-6027,Customer 133,Home Office,United States,Los Angeles,California,52033,East,P-4711,Technology,Copiers,Product 133,1190.04,4,0.03,292.99
134,CA-92592,2019-05-14,2019-05-16,First Class,C-4393,Customer 134,Consumer,United States,New York,New York,87247,Central,P-6404,Technology,Phones,Product 134,1045.62,6,0.26,153.49
135,CA-56198,2019-05-15,2019-05-17,Standard Class,C-5498,Customer 135,Home Office,United States,Chicago,Illinois,56984,East,P-7228,Office Supplies,Paper,Product 135,1196.14,7,0.15,147.59
136,CA-63074,2019-05-16,2019-05-18,First Class,C-2006,Customer 136,Corporate,United States,New York,New York,95739,West,P-6299,Office Supplies,Binders,Product 136,169.97,6,0.01,41.64
137,CA-15785,2019-05-17,2019-05-19,Standard Class,C-3999,Customer 137,Home Office,United States,Los Angeles,California,48457,East,P-6835,Office Supplies,Paper,Product 137,130.01,8,0.16,14.36
138,CA-26040,2019-05-18,2019-05-20,First Class,C-9478,Customer 138,Consumer,United States,Los Angeles,California,35203,West,P-3533,Office Supplies,Storage,Product 138,371.54,2,0.22,38.77
139,CA-66967,2019-05-19,2019-05-21,Same Day,C-9551,Customer 139,Consumer,United States,Chicago,Illinois,28435,West,P-9683,Technology,Copiers,Product 139,1741.61,5,0.04,292.78
140,CA-65406,2019-05-20,2019-05-22,First Class,C-6486,Customer 140,Home Office,United States,Miami,Florida,46193,Central,P-9348,Technology,Phones,Product 140,725.81,3,0.08,109.79
141,CA-75937,2019-05-21,2019-05-23,First Class,C-6124,Customer 141,Consumer,United States,Chicago,Illinois,48272,South,P-1758,Technology,Copiers,Product 141,879.38,4,0.13,63.7
142,CA-54376,2019-05-22,2019-05-24,Second Class,C-2391,Customer 142,Home Office,United States,Miami,Florida,38214,East,P-1848,Furniture,Tables,Product 142,792.53,8,0.12,39.27
143,CA-82600,2019-05-23,2019-05-25,First Class,C-1925,Customer 143,Home Office,United States,New York,New York,89922,East,P-2307,Office Supplies,Storage,Product 143,1434.45,2,0.15,253.8
144,CA-64219,2019-05-24,2019-05-26,First Class,C-9375,Customer 144,Corporate,United States,New York,New York,34051,West,P-9172,Furniture,Chairs,Product 144,533.76,9,0.0,71.38
145,CA-69574,2019-05-25,2019-05-27,First Class,C-8482,Customer 145,Corporate,United States,Los Angeles,California,32787,East,P-7566,Office Supplies,Binders,Product 145,155.42,7,0.22,21.92
146,CA-67601,2019-05-26,2019-05-28,Same Day,C-8414,Customer 146,Home Office,United States,Chicago,Illinois,17812,East,P-7395,Office Supplies,Storage,Product 146,768.79,1,0.09,70.92
147,CA-79037,2019-05-27,2019-05-29,First Class,C-2773,Customer 147,Consumer,United States,Los Angeles,California,71146,South,P-7448,Office Supplies,Storage,Product 147,1461.11,3,0.21,221.54
