CustomerID,Age,Gender,Tenure,ServicePlan,ContractType,MonthlyCharges,TotalCharges,Churn
216,44,Female,22,Premium,Month-to-month,41.44,911.68,0
217,32,Female,70,Basic,One-year,88.92,6224.4,1
218,56,Female,70,Premium,Two-year,93.52,6546.4,1
219,40,Female,28,Premium,One-year,41.59,1164.52,0
220,56,Female,58,Basic,One-year,45.71,2651.18,1
221,19,Female,23,Premium,Two-year,66.69,1533.87,0
222,55,Male,17,Basic,Two-year,41.02,697.34,1
223,42,Male,45,Basic,One-year,85.82,3861.9,0
224,40,Male,64,Basic,Month-to-month,35.02,2241.28,1
225,49,Male,58,Premium,Month-to-month,51.23,2971.34,1
226,26,Female,17,Basic,Month-to-month,44.9,763.3,0
227,69,Male,26,Basic,Two-year,111.89,2909.14,0
228,46,Male,25,Premium,Month-to-month,95.67,2391.75,1
229,36,Female,8,Basic,Two-year,96.31,770.48,0
230,64,Female,4,Premium,Month-to-month,35.37,141.48,1
231,60,Female,64,Basic,Month-to-month,33.38,2136.32,0
232,43,Female,22,Basic,Month-to-month,51.51,1133.22,0
233,67,Female,71,Premium,Two-year,88.04,6250.84,1
234,24,Female,24,Basic,One-year,88.44,2122.56,0
235,58,Male,1,Basic,Month-to-month,56.75,56.75,1
236,20,Female,29,Premium,Two-year,89.42,2593.18,0
237,38,Male,21,Basic,One-year,75.89,1593.69,0
238,45,Female,51,Basic,Two-year,95.81,4886.31,0
239,31,Male,50,Basic,Two-year,49.25,2462.5,0
240,64,Female,47,Basic,Month-to-month,98.98,4652.06,0
241,29,Female,2,Premium,Two-year,30.08,60.16,0
242,60,Male,17,Premium,Month-to-month,90.25,1534.25,0
243,21,Male,52,Basic,Two-year,30.79,1601.08,0
244,55,Male,28,Premium,One-year,78.19,2189.32,1
245,39,Male,24,Premium,Two-year,108.11,2594.64,1
246,46,Male,31,Basic,Month-to-month,94.38,2925.78,1
247,34,Male,14,Premium,Two-year,96.78,1354.92,0
248,51,Female,30,Basic,Month-to-month,66.94,2008.2,0
249,47,Male,47,Basic,Month-to-month,64.51,3031.97,1
250,36,Male,46,Premium,Month-to-month,61.94,2849.24,1
251,44,Female,40,Basic,Two-year,75.77,3030.8,0
252,26,Female,44,Premium,One-year,96.29,4236.76,0
253,26,Female,10,Premium,One-year,63.57,635.7,0
254,46,Male,21,Basic,One-year,49.19,1032.99,0
255,58,Female,62,Basic,Two-year,39.07,2422.34,1
256,51,Male,54,Premium,Two-year,67.28,3633.12,0
257,67,Female,29,Basic,One-year,73.15,2121.35,1
258,56,Female,7,Premium,One-year,93.22,652.54,0
259,61,Male,62,Basic,Month-to-month,39.15,2427.3,0
260,27,Male,47,Basic,One-year,62.29,2927.63,1
261,70,Female,52,Basic,Month-to-month,67.82,3526.64,0
262,18,Male,41,Premium,Month-to-month,45.66,1872.06,0
263,29,Female,55,Premium,One-year,32.43,1783.65,1
264,69,Male,56,Basic,One-year,103.18,5778.08,0
265,59,Female,2,Premium,One-year,58.19,116.38,0
266,20,Female,57,Basic,Month-to-month,60.97,3475.29,0
267,40,Female,30,Premium,One-year,111.69,3350.7,1
268,70,Female,1,Basic,Month-to-month,115.38,115.38,1
269,47,Male,20,Basic,One-year,72.61,1452.2,1
270,31,Female,47,Premium,Two-year,32.17,1511.99,0
271,36,Female,52,Premium,One-year,33.88,1761.76,1
272,22,Female,72,Basic,Two-year,119.0,8568.0,0
273,69,Male,70,Premium,Two-year,84.44,5910.8,1
274,66,Female,3,Premium,Month-to-month,92.56,277.68,1
275,45,Female,64,Basic,One-year,54.44,3484.16,1
276,41,Female,42,Premium,Month-to-month,115.73,4860.66,1
277,50,Female,68,Basic,Two-year,46.05,3131.4,0
278,24,Male,21,Basic,One-year,104.99,2204.79,1
279,51,Female,35,Basic,Month-to-month,64.69,2264.15,0
280,61,Female,16,Basic,One-year,99.43,1590.88,1
281,18,Female,41,Premium,One-year,46.72,1915.52,0
282,70,Male,13,Basic,Two-year,108.46,1409.98,1
283,39,Male,29,Premium,Month-to-month,71.88,2084.52,0
284,60,Female,62,Basic,One-year,48.49,3006.38,1
285,41,Male,56,Basic,Month-to-month,103.76,5810.56,0
286,63,Female,17,Premium,One-year,60.75,1032.75,0
287,70,Male,17,Premium,One-year,100.65,1711.05,0
288,68,Male,56,Premium,Two-year,87.96,4925.76,1
289,26,Female,17,Basic,Two-year,60.55,1029.35,1
290,40,Male,68,Premium,One-year,104.19,7084.92,0
291,47,Female,57,Premium,Month-to-month,77.3,4406.1,0
292,26,Male,43,Premium,Month-to-month,56.09,2411.87,1
293,28,Female,42,Basic,One-year,96.4,4048.8,0
294,55,Male,12,Premium,One-year,51.97,623.64,1
295,39,Female,19,Premium,Month-to-month,39.44,749.36,0
296,54,Male,41,Basic,Month-to-month,115.11,4719.51,0
297,56,Female,25,Basic,Month-to-month,35.59,889.75,1
298,60,Male,71,Premium,Month-to-month,97.8,6943.8,1
299,18,Male,8,Premium,Month-to-month,53.1,424.8,1
300,50,Female,57,Basic,Two-year,105.57,6017.49,1
301,60,Female,52,Premium,One-year,61.16,3180.32,0
302,63,Male,30,Premium,Month-to-month,36.49,1094.7,1
303,60,Male,16,Basic,One-year,58.31,932.96,0
304,23,Female,29,Premium,One-year,96.75,2805.75,0
305,59,Female,12,Premium,One-year,96.11,1153.32,1
306,67,Male,12,Basic,Two-year,60.25,723.0,1
307,67,Female,42,Basic,Month-to-month,70.49,2960.58,0
308,57,Female,35,Basic,Month-to-month,40.98,1434.3,1
309,50,Male,6,Premium,One-year,83.41,500.46,1
310,70,Female,56,Premium,One-year,77.92,4363.52,0
311,58,Male,43,Premium,Two-year,55.63,2392.09,1
312,42,Female,16,Basic,One-year,82.41,1318.56,1
313,61,Female,35,Basic,Month-to-month,50.07,1752.45,0
314,63,Female,34,Basic,One-year,113.05,3843.7,0
315,70,Female,11,Premium,One-year,48.22,530.42,1
316,26,Male,7,Basic,One-year,98.32,688.24,1
317,48,Female,18,Basic,Month-to-month,87.85,1581.3,1
318,46,Female,19,Basic,Two-year,33.68,639.92,0
319,32,Male,20,Basic,One-year,78.88,1577.6,0
320,30,Female,20,Premium,Month-to-month,117.83,2356.6,1
321,55,Female,17,Basic,Two-year,30.13,512.21,0
322,41,Female,68,Basic,One-year,30.09,2046.12,0
323,33,Male,59,Basic,Two-year,55.08,3249.72,1
324,38,Male,10,Premium,One-year,88.94,889.4,0
325,70,Female,51,Basic,Month-to-month,37.89,1932.39,0
326,35,Female,70,Premium,One-year,52.35,3664.5,1
327,50,Female,64,Basic,One-year,85.69,5484.16,1
328,43,Male,39,Basic,Two-year,69.56,2712.84,1
329,38,Male,20,Basic,Two-year,72.81,1456.2,1
330,55,Male,31,Basic,One-year,71.92,2229.52,1
331,43,Male,55,Premium,One-year,45.16,2483.8,0
332,29,Male,27,Premium,One-year,62.21,1679.67,0
333,30,Female,3,Basic,Two-year,34.58,103.74,1
334,52,Female,64,Basic,One-year,56.55,3619.2,1
335,19,Male,24,Basic,Two-year,103.57,2485.68,0
336,28,Male,18,Premium,Two-year,85.58,1540.44,1
337,48,Female,30,Premium,One-year,107.09,3212.7,0
338,50,Female,27,Basic,Two-year,46.55,1256.85,1
339,28,Female,69,Premium,One-year,71.94,4963.86,0
340,44,Male,16,Premium,Month-to-month,118.54,1896.64,0
341,46,Male,56,Premium,One-year,73.59,4121.04,1
342,19,Female,6,Premium,Two-year,64.86,389.16,1
343,21,Male,19,Premium,Month-to-month,53.32,1013.08,1
344,45,Female,29,Premium,Two-year,78.37,2272.73,1
345,38,Female,39,Premium,Two-year,90.89,3544.71,0
346,48,Male,26,Premium,One-year,41.51,1079.26,0
347,55,Female,9,Basic,Month-to-month,34.4,309.6,1
348,38,Female,18,Premium,One-year,116.25,2092.5,1
349,63,Male,71,Basic,One-year,51.02,3622.42,1
350,53,Male,15,Basic,Month-to-month,34.4,516.0,0
351,50,Male,63,Premium,Month-to-month,55.02,3466.26,0
352,52,Male,50,Premium,Month-to-month,38.47,1923.5,1
353,32,Female,28,Premium,Two-year,88.43,2476.04,1
354,42,Male,35,Basic,Two-year,118.37,4142.95,1
355,25,Female,29,Premium,One-year,118.64,3440.56,0
356,28,Female,3,Premium,Two-year,40.98,122.94,0
357,59,Female,25,Basic,Month-to-month,107.81,2695.25,1
358,50,Female,5,Basic,Month-to-month,31.51,157.55,0
359,48,Male,20,Basic,One-year,64.03,1280.6,1
360,24,Female,6,Basic,One-year,90.46,542.76,1
361,24,Female,25,Basic,Month-to-month,43.63,1090.75,0
362,18,Female,17,Premium,Two-year,43.15,733.55,0
363,49,Female,17,Basic,Two-year,35.35,600.95,0
364,41,Male,64,Basic,Month-to-month,47.83,3061.12,0
365,22,Female,32,Premium,Two-year,38.76,1240.32,1
366,49,Female,10,Basic,One-year,45.83,458.3,0
367,46,Female,32,Basic,One-year,90.25,2888.0,1
368,29,Male,24,Basic,One-year,30.43,730.32,0
369,37,Female,57,Basic,Month-to-month,78.35,4465.95,0
370,44,Female,70,Basic,Two-year,52.96,3707.2,1
371,61,Female,31,Premium,One-year,87.24,2704.44,0
372,70,Female,44,Basic,Two-year,94.29,4148.76,0
373,65,Male,13,Basic,Two-year,75.77,985.01,0
374,35,Female,13,Premium,Month-to-month,31.56,410.28,0
375,47,Female,58,Premium,Two-year,33.81,1960.98,1
376,33,Female,57,Basic,One-year,86.95,4956.15,0
377,55,Male,41,Basic,Month-to-month,118.31,4850.71,0
378,44,Female,50,Premium,Two-year,91.0,4550.0,1
379,70,Male,15,Premium,One-year,85.48,1282.2,0
380,32,Female,40,Premium,Month-to-month,111.25,4450.0,0
381,37,Male,8,Premium,One-year,74.5,596.0,0
382,66,Male,65,Basic,Two-year,88.97,5783.05,0
383,28,Male,17,Premium,One-year,113.62,1931.54,1
384,66,Male,36,Basic,One-year,69.09,2487.24,0
385,37,Female,10,Basic,Two-year,77.6,776.0,1
386,34,Male,39,Premium,Two-year,54.07,2108.73,0
387,28,Female,49,Premium,Month-to-month,35.26,1727.74,0
388,49,Female,17,Premium,One-year,106.35,1807.95,0
389,41,Female,48,Premium,Two-year,48.18,2312.64,1
390,37,Male,57,Premium,Month-to-month,98.52,5615.64,1
391,29,Female,36,Premium,Month-to-month,41.52,1494.72,1
392,48,Female,4,Premium,Two-year,109.98,439.92,1
393,69,Female,18,Premium,One-year,71.75,1291.5,1
394,55,Female,36,Premium,Month-to-month,104.23,3752.28,0
395,51,Male,68,Basic,Month-to-month,103.77,7056.36,0
396,44,Male,28,Premium,Two-year,75.01,2100.28,0
397,62,Male,23,Premium,Two-year,101.93,2344.39,0
398,70,Female,18,Basic,Month-to-month,41.71,750.78,0
399,48,Female,66,Basic,One-year,39.94,2636.04,1
400,24,Male,57,Basic,Two-year,46.78,2666.46,1
401,28,Male,8,Premium,Month-to-month,114.4,915.2,1
402,28,Male,66,Basic,One-year,69.23,4569.18,1
403,54,Male,63,Basic,Month-to-month,83.22,5242.86,1
404,18,Female,53,Premium,Two-year,58.51,3101.03,1
405,47,Male,11,Basic,Two-year,118.55,1304.05,0
406,35,Male,49,Premium,Two-year,92.84,4549.16,1
407,25,Male,35,Premium,Month-to-month,68.58,2400.3,1
408,23,Female,10,Basic,Two-year,75.26,752.6,1
409,38,Female,46,Basic,One-year,84.11,3869.06,1
410,46,Female,54,Premium,Two-year,75.82,4094.28,1
411,36,Female,56,Premium,Month-to-month,55.45,3105.2,0
412,32,Male,59,Basic,Month-to-month,38.27,2257.93,1
413,52,Female,52,Basic,Month-to-month,91.6,4763.2,0
414,61,Male,2,Basic,Month-to-month,91.28,182.56,0
415,55,Male,52,Basic,Month-to-month,47.52,2471.04,0
416,30,Female,42,Basic,One-year,72.96,3064.32,0
417,32,Male,33,Basic,Month-to-month,55.19,1821.27,1
418,42,Female,45,Premium,Two-year,60.64,2728.8,1
419,50,Female,1,Basic,Two-year,118.39,118.39,0
420,34,Male,69,Premium,One-year,97.59,6733.71,0
421,60,Male,60,Premium,Month-to-month,118.41,7104.6,1
422,70,Male,41,Basic,Month-to-month,43.42,1780.22,1
423,21,Male,20,Premium,Two-year,49.28,985.6,1
424,52,Male,44,Premium,One-year,111.07,4887.08,1
425,27,Female,46,Premium,One-year,81.79,3762.34,0
426,55,Male,66,Premium,Month-to-month,42.59,2810.94,0
427,31,Female,56,Premium,One-year,36.54,2046.24,1
428,18,Female,11,Basic,One-year,34.66,381.26,1
429,50,Female,68,Basic,Month-to-month,111.81,7603.08,1
430,60,Male,56,Basic,Two-year,53.1,2973.6,0
431,26,Female,5,Premium,One-year,74.12,370.6,1
432,18,Male,47,Basic,One-year,32.75,1539.25,1
433,23,Male,54,Basic,One-year,34.0,1836.0,0
434,18,Female,56,Premium,One-year,106.15,5944.4,1
435,23,Female,14,Premium,One-year,96.87,1356.18,1
436,21,Male,28,Basic,Two-year,93.63,2621.64,0
437,34,Male,35,Basic,Month-to-month,104.0,3640.0,1
438,69,Female,56,Premium,One-year,94.97,5318.32,1
439,28,Male,49,Premium,Two-year,85.77,4202.73,1
440,22,Female,17,Basic,Two-year,64.48,1096.16,0
441,62,Male,34,Basic,Month-to-month,37.94,1289.96,0
442,48,Male,22,Premium,Two-year,117.27,2579.94,1
443,30,Male,66,Basic,One-year,32.45,2141.7,1
444,35,Male,16,Premium,One-year,105.95,1695.2,0
445,40,Male,8,Basic,Month-to-month,106.33,850.64,1
446,35,Male,24,Basic,Month-to-month,71.75,1722.0,1
447,44,Female,45,Basic,Two-year,114.47,5151.15,1
448,31,Male,58,Premium,Month-to-month,46.97,2724.26,1
449,32,Male,25,Premium,One-year,89.72,2243.0,1
450,45,Male,58,Premium,Month-to-month,61.06,3541.48,1
451,45,Male,35,Premium,Two-year,90.97,3183.95,1
452,61,Female,49,Basic,One-year,108.78,5330.22,0
453,33,Male,51,Basic,Month-to-month,80.93,4127.43,0
454,37,Male,20,Basic,Two-year,97.87,1957.4,1
455,28,Female,38,Premium,Month-to-month,92.83,3527.54,0
456,55,Female,36,Premium,Two-year,76.87,2767.32,0
457,69,Male,54,Basic,Two-year,89.89,4854.06,1
458,40,Male,63,Basic,Two-year,40.0,2520.0,0
459,28,Male,59,Premium,One-year,52.6,3103.4,0
460,45,Male,14,Premium,Month-to-month,33.38,467.32,1
461,35,Male,40,Basic,Month-to-month,103.97,4158.8,0
462,67,Female,19,Premium,One-year,33.26,631.94,1
463,19,Male,62,Premium,Two-year,45.44,2817.28,0
464,44,Female,72,Premium,Two-year,69.38,4995.36,1
465,56,Female,6,Basic,Month-to-month,89.12,534.72,0
466,62,Female,18,Premium,Two-year,53.48,962.64,1
467,59,Male,49,Basic,Month-to-month,65.7,3219.3,1
468,38,Female,65,Basic,Two-year,68.69,4464.85,1
469,55,Female,69,Basic,Two-year,102.38,7064.22,0
470,25,Male,23,Basic,One-year,86.1,1980.3,0
471,33,Male,10,Basic,Two-year,98.18,981.8,1
472,44,Male,26,Premium,Two-year,66.2,1721.2,0
473,22,Female,43,Basic,Month-to-month,77.84,3347.12,1
474,57,Male,58,Premium,One-year,41.7,2418.6,0
475,70,Male,46,Basic,Month-to-month,91.36,4202.56,0
476,53,Male,51,Premium,Month-to-month,33.43,1704.93,0
477,61,Male,44,Basic,Two-year,76.01,3344.44,0
